mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,STD,321,10,311
2,LVR,28,18,10
3,LVR,28,18,10
4,STD,101,38,63
5,LVR,28,18,10
6,LVR,28,18,10
7,ROR,28,18,10
8,ROR,249,32,217
9,ROR,0,0,0
10,LVR,28,18,10
11,LVR,171,0,171
12,AOR,147,105,42
13,AOR,192,0,192
14,AOR,171,0,171
15,AOR,191,0,191
16,ROR,0,0,0
17,ROR,171,0,171
18,ROR,191,0,191
19,LVR,171,0,171
20,LVR,0,0,0
21,LVR,86,60,26
22,LVR,96,66,30
23,AOR,160,92,68
24,AOR,23,23,0
25,AOR,136,0,136
26,AOR,78,75,3
27,STD,136,0,136
28,LVR,78,75,3
29,LVR,57,0,57
30,STD,63,0,63
31,COR,30,30,0
32,COR,0,0,0
33,STD,10,0,10
34,EVR,147,105,42
35,COR,217,0,217
36,COR,140,76,64
37,STD,0,0,0
38,EVR,111,0,111
39,COR,37,35,2
40,COR,111,0,111
41,STD,36,34,2
42,LVR,21,21,0
43,COR,36,34,2
44,COR,299,73,226
45,STD,265,46,219
46,EVR,0,0,0
47,STD,140,76,64
48,EVR,257,44,213
