mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,LVR,9,0,9
2,LVR,0,0,0
3,ROR,4,0,4
4,ROR,0,0,0
5,ROR,0,0,0
6,LVR,14,0,14
7,LVR,6,5,1
8,AOR,11,7,4
9,AOR,8,7,1
10,AOR,11,7,4
11,AOR,10,5,5
12,STD,7,6,1
13,STD,10,5,5
14,LVR,0,0,0
15,LVR,12,6,6
16,STD,1,0,1
17,LVR,1,0,1
18,LVR,0,0,0
19,STD,0,0,0
20,STD,2,2,0
21,COR,1,1,0
22,COR,1,1,0
23,EVR,1,1,0
24,EVR,1,1,0
25,ROR,1,1,0
26,ROR,1,1,0
27,ROR,1,1,0
28,AOR,6,6,0
29,AOR,6,6,0
30,AOR,3,3,0
31,AOR,6,6,0
32,LVR,6,6,0
33,LVR,6,6,0
34,AOR,4,4,0
35,AOR,6,6,0
36,AOR,0,0,0
37,AOR,6,6,0
38,AOR,6,6,0
39,AOR,3,3,0
40,AOR,6,6,0
41,AOR,6,6,0
42,AOR,6,6,0
43,AOR,0,0,0
44,AOR,4,4,0
45,AOR,10,5,5
46,LVR,7,7,0
47,EVR,14,0,14
48,LVR,7,7,0
49,LVR,10,5,5
50,AOR,7,7,0
51,AOR,10,5,5
52,AOR,1,1,0
53,AOR,4,0,4
54,EVR,2,0,2
55,ROR,3,2,1
56,ROR,1,1,0
57,ROR,1,1,0
58,LVR,0,0,0
59,LVR,0,0,0
60,ROR,4,0,4
61,ROR,1,1,0
62,ROR,6,0,6
63,ROR,0,0,0
64,ROR,1,1,0
65,ROR,4,0,4
66,LVR,1,1,0
67,LVR,1,1,0
68,AOR,4,0,4
69,AOR,0,0,0
70,AOR,1,1,0
71,AOR,4,0,4
72,ROR,0,0,0
73,ROR,4,0,4
74,ROR,1,1,0
75,EVR,2,2,0
76,COR,2,2,0
77,COR,6,0,6
78,STD,3,2,1
79,ROR,5,1,4
80,ROR,0,0,0
81,ROR,0,0,0
82,LVR,1,1,0
83,LVR,4,4,0
84,STD,4,4,0
85,LVR,4,2,2
86,LVR,5,1,4
87,AOR,6,6,0
88,AOR,6,6,0
89,AOR,5,1,4
90,AOR,6,6,0
91,STD,0,0,0
92,COR,5,1,4
93,COR,5,1,4
94,ROR,1,1,0
95,ROR,4,0,4
96,ROR,4,0,4
97,LVR,0,0,0
98,LVR,1,1,0
99,STD,1,1,0
100,STD,0,0,0
101,STD,1,1,0
