mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,LVR,20,0,20
2,LVR,0,0,0
3,ROR,10,10,0
4,ROR,11,11,0
5,ROR,0,0,0
6,LVR,482,0,482
7,LVR,257,209,48
8,AOR,420,419,1
9,AOR,420,330,90
10,AOR,420,419,1
11,AOR,424,335,89
12,STD,421,345,76
13,STD,424,335,89
14,LVR,8,8,0
15,LVR,416,255,161
16,STD,67,0,67
17,LVR,50,0,50
18,LVR,33,32,1
19,STD,33,32,1
20,STD,0,0,0
21,COR,7,7,0
22,COR,38,38,0
23,EVR,38,38,0
24,EVR,38,38,0
25,ROR,5,5,0
26,ROR,38,38,0
27,ROR,38,38,0
28,AOR,231,231,0
29,AOR,231,231,0
30,AOR,7,7,0
31,AOR,231,231,0
32,LVR,231,231,0
33,LVR,231,231,0
34,AOR,231,231,0
35,AOR,231,231,0
36,AOR,8,8,0
37,AOR,231,231,0
38,AOR,231,231,0
39,AOR,7,7,0
40,AOR,231,231,0
41,AOR,231,231,0
42,AOR,231,231,0
43,AOR,0,0,0
44,AOR,44,44,0
45,AOR,345,345,0
46,LVR,344,344,0
47,EVR,482,0,482
48,LVR,344,344,0
49,LVR,345,345,0
50,AOR,344,344,0
51,AOR,345,345,0
52,AOR,269,269,0
53,AOR,87,13,74
54,EVR,0,0,0
55,ROR,404,337,67
56,ROR,0,0,0
57,ROR,0,0,0
58,LVR,0,0,0
59,LVR,0,0,0
60,ROR,0,0,0
61,ROR,0,0,0
62,ROR,322,161,161
63,ROR,0,0,0
64,ROR,0,0,0
65,ROR,14,6,8
66,LVR,4,3,1
67,LVR,0,0,0
68,AOR,14,6,8
69,AOR,0,0,0
70,AOR,4,3,1
71,AOR,14,6,8
72,ROR,0,0,0
73,ROR,16,8,8
74,ROR,0,0,0
75,EVR,0,0,0
76,COR,0,0,0
77,COR,161,0,161
78,STD,55,5,50
79,ROR,87,13,74
80,ROR,0,0,0
81,ROR,0,0,0
82,LVR,0,0,0
83,LVR,0,0,0
84,STD,0,0,0
85,LVR,0,0,0
86,LVR,87,13,74
87,AOR,47,45,2
88,AOR,47,45,2
89,AOR,87,13,74
90,AOR,47,45,2
91,STD,0,0,0
92,COR,87,13,74
93,COR,87,13,74
94,ROR,66,66,0
95,ROR,38,0,38
96,ROR,10,10,0
97,LVR,0,0,0
98,LVR,0,0,0
99,STD,0,0,0
100,STD,0,0,0
101,STD,0,0,0
