mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,STD,621,0,621
2,LVR,70,67,3
3,LVR,395,0,395
4,STD,395,0,395
5,LVR,395,0,395
6,LVR,70,67,3
7,STD,550,345,205
8,LVR,504,498,6
9,LVR,0,0,0
10,AOR,182,178,4
11,AOR,557,240,317
12,AOR,501,496,5
13,AOR,511,89,422
14,STD,0,0,0
15,LVR,2,2,0
16,LVR,48,47,1
17,ROR,133,114,19
18,ROR,37,37,0
19,ROR,101,100,1
20,ROR,115,0,115
21,ROR,1,1,0
22,ROR,188,0,188
23,LVR,520,500,20
24,LVR,0,0,0
25,STD,103,102,1
26,LVR,188,0,188
27,LVR,188,0,188
28,STD,188,0,188
29,LVR,96,95,1
30,LVR,1,0,1
31,AOR,333,0,333
32,AOR,0,0,0
33,AOR,3,0,3
34,AOR,0,0,0
35,STD,67,64,3
36,LVR,67,64,3
37,LVR,67,64,3
38,STD,66,39,27
39,COR,194,73,121
40,COR,130,10,120
41,EVR,121,120,1
42,EVR,0,0,0
43,COR,20,20,0
44,COR,0,0,0
45,STD,75,73,2
46,EVR,20,20,0
47,STD,0,0,0
48,ROR,0,0,0
49,ROR,0,0,0
50,ROR,121,120,1
51,LVR,0,0,0
52,LVR,0,0,0
53,STD,422,0,422
54,EVR,43,41,2
55,EVR,0,0,0
56,COR,164,0,164
57,COR,160,156,4
58,ROR,162,156,6
59,ROR,422,0,422
60,ROR,422,0,422
61,LVR,160,156,4
62,LVR,182,178,4
63,STD,0,0,0
64,STD,89,0,89
65,STD,0,0,0
66,LVR,395,0,395
67,STD,0,0,0
