mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,STD,313,10,303
2,LVR,26,16,10
3,LVR,26,16,10
4,STD,98,37,61
5,LVR,26,16,10
6,LVR,26,16,10
7,ROR,26,16,10
8,ROR,244,31,213
9,ROR,0,0,0
10,LVR,26,16,10
11,LVR,166,0,166
12,AOR,141,103,38
13,AOR,187,0,187
14,AOR,166,0,166
15,AOR,186,0,186
16,ROR,0,0,0
17,ROR,166,0,166
18,ROR,186,0,186
19,LVR,166,0,166
20,LVR,0,0,0
21,LVR,82,58,24
22,LVR,92,64,28
23,AOR,152,91,61
24,AOR,22,22,0
25,AOR,128,0,128
26,AOR,75,72,3
27,STD,128,0,128
28,LVR,75,72,3
29,LVR,0,0,0
30,STD,53,0,53
31,COR,61,0,61
32,COR,29,29,0
33,STD,0,0,0
34,EVR,141,103,38
35,EVR,10,0,10
36,COR,213,0,213
37,COR,136,74,62
38,STD,103,0,103
39,LVR,36,34,2
40,COR,103,0,103
41,COR,35,33,2
42,STD,21,21,0
43,COR,35,33,2
44,COR,286,73,213
45,STD,254,46,208
46,EVR,0,0,0
47,STD,136,74,62
48,EVR,246,44,202
