mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,STD,309,10,299
2,LVR,139,102,37
3,LVR,150,91,59
4,STD,139,102,37
5,LVR,282,72,210
6,LVR,250,46,204
7,ROR,0,0,0
8,ROR,133,72,61
9,ROR,243,44,199
10,LVR,26,16,10
11,LVR,26,16,10
12,AOR,96,37,59
13,AOR,26,16,10
14,AOR,26,16,10
15,AOR,26,16,10
16,ROR,239,30,209
17,ROR,0,0,0
18,ROR,26,16,10
19,LVR,164,0,164
20,LVR,185,0,185
21,LVR,164,0,164
22,LVR,184,0,184
23,AOR,0,0,0
24,AOR,164,0,164
25,AOR,184,0,184
26,AOR,164,0,164
27,STD,0,0,0
28,LVR,82,58,24
29,LVR,92,64,28
30,STD,22,22,0
31,COR,125,0,125
32,COR,72,69,3
33,STD,125,0,125
34,EVR,72,69,3
35,LVR,0,0,0
36,EVR,72,69,3
37,COR,53,0,53
38,COR,60,0,60
39,STD,28,28,0
40,COR,10,0,10
41,COR,209,0,209
42,STD,133,72,61
43,COR,101,0,101
44,COR,35,33,2
45,STD,101,0,101
46,EVR,34,32,2
47,STD,20,20,0
48,EVR,34,32,2
