mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,STD,377,11,366
2,LVR,164,116,48
3,LVR,179,104,75
4,STD,164,116,48
5,LVR,345,85,260
6,LVR,306,53,253
7,ROR,0,0,0
8,ROR,169,93,76
9,ROR,300,52,248
10,LVR,34,22,12
11,LVR,34,22,12
12,AOR,128,51,77
13,AOR,34,22,12
14,AOR,34,22,12
15,AOR,34,22,12
16,ROR,297,40,257
17,ROR,0,0,0
18,ROR,34,22,12
19,LVR,201,0,201
20,LVR,224,0,224
21,LVR,201,0,201
22,LVR,223,0,223
23,AOR,0,0,0
24,AOR,201,0,201
25,AOR,223,0,223
26,AOR,201,0,201
27,STD,0,0,0
28,LVR,102,73,29
29,LVR,112,79,33
30,STD,27,27,0
31,COR,211,0,211
32,COR,97,93,4
33,STD,211,0,211
34,EVR,97,93,4
35,COR,64,0,64
36,COR,74,0,74
37,STD,33,33,0
38,COR,12,0,12
39,COR,257,0,257
40,STD,169,93,76
41,EVR,0,0,0
42,EVR,0,0,0
43,COR,134,0,134
44,COR,48,45,3
45,STD,134,0,134
46,EVR,47,44,3
47,STD,24,24,0
48,LVR,0,0,0
49,EVR,47,44,3
