mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,STD,815,0,815
2,STD,339,183,156
3,COR,435,302,133
4,COR,84,19,65
5,EVR,339,183,156
6,EVR,435,302,133
7,EVR,391,178,213
8,EVR,219,219,0
9,EVR,568,0,568
10,LVR,507,507,0
11,LVR,0,0,0
12,ROR,792,0,792
13,ROR,507,0,507
14,ROR,231,231,0
15,EVR,220,0,220
16,LVR,0,0,0
17,LVR,16,16,0
18,LVR,507,0,507
19,ROR,231,231,0
20,ROR,231,231,0
21,ROR,280,0,280
22,COR,231,231,0
23,COR,237,0,237
24,COR,701,0,701
25,COR,195,195,0
26,ROR,701,0,701
27,STD,22,22,0
28,STD,195,195,0
29,EVR,701,0,701
30,EVR,47,28,19
31,LVR,701,319,382
32,LVR,558,66,492
33,ROR,701,701,0
34,ROR,129,0,129
35,ROR,701,701,0
36,STD,259,259,0
37,STD,701,701,0
38,STD,701,701,0
39,LVR,701,701,0
40,LVR,701,701,0
41,AOR,0,0,0
42,AOR,259,259,0
43,AOR,213,0,213
44,AOR,106,0,106
45,STD,8,0,8
46,LVR,0,0,0
47,EVR,0,0,0
48,EVR,0,0,0
49,LVR,213,0,213
50,LVR,213,0,213
51,ROR,133,0,133
52,ROR,213,0,213
53,ROR,0,0,0
54,COR,65,45,20
55,COR,132,76,56
56,COR,235,224,11
57,COR,22,19,3
58,EVR,65,65,0
59,STD,701,0,701
60,STD,701,0,701
61,EVR,235,224,11
62,EVR,413,200,213
63,EVR,413,200,213
