mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,LVR,20,0,20
2,LVR,9,9,0
3,ROR,6,6,0
4,ROR,9,9,0
5,ROR,558,0,558
6,LVR,0,0,0
7,LVR,0,0,0
8,AOR,0,0,0
9,AOR,0,0,0
10,AOR,0,0,0
11,AOR,0,0,0
12,STD,558,0,558
13,STD,307,250,57
14,LVR,488,487,1
15,LVR,488,381,107
16,STD,488,487,1
17,LVR,492,386,106
18,LVR,489,400,89
19,STD,492,386,106
20,STD,483,286,197
21,COR,82,0,82
22,COR,59,0,59
23,EVR,39,38,1
24,EVR,39,38,1
25,ROR,0,0,0
26,ROR,10,10,0
27,ROR,47,47,0
28,AOR,47,47,0
29,AOR,47,47,0
30,AOR,47,47,0
31,AOR,47,47,0
32,LVR,276,276,0
33,LVR,276,276,0
34,AOR,10,10,0
35,AOR,276,276,0
36,AOR,276,276,0
37,AOR,276,276,0
38,AOR,276,276,0
39,AOR,276,276,0
40,AOR,276,276,0
41,AOR,276,276,0
42,AOR,10,10,0
43,AOR,276,276,0
44,AOR,276,276,0
45,AOR,276,276,0
46,LVR,0,0,0
47,EVR,55,55,0
48,LVR,399,398,1
49,LVR,398,398,0
50,AOR,398,398,0
51,AOR,399,398,1
52,AOR,398,398,0
53,AOR,399,398,1
54,EVR,312,312,0
55,ROR,102,15,87
56,ROR,0,0,0
57,ROR,463,381,82
58,LVR,0,0,0
59,LVR,0,0,0
60,ROR,0,0,0
61,ROR,0,0,0
62,ROR,0,0,0
63,ROR,376,179,197
64,ROR,0,0,0
65,ROR,0,0,0
66,LVR,19,10,9
67,LVR,5,3,2
68,AOR,0,0,0
69,AOR,19,10,9
70,AOR,5,3,2
71,AOR,19,10,9
72,ROR,0,0,0
73,ROR,22,12,10
74,ROR,0,0,0
75,EVR,0,0,0
76,COR,0,0,0
77,COR,197,0,197
78,STD,65,6,59
79,ROR,102,15,87
80,ROR,0,0,0
81,ROR,0,0,0
82,LVR,0,0,0
83,LVR,0,0,0
84,STD,0,0,0
85,LVR,102,15,87
86,LVR,57,55,2
87,AOR,57,55,2
88,AOR,102,15,87
89,AOR,57,55,2
90,AOR,102,15,87
91,STD,102,15,87
92,COR,77,77,0
93,COR,45,0,45
94,ROR,13,11,2
95,ROR,0,0,0
96,ROR,0,0,0
97,LVR,0,0,0
98,LVR,0,0,0
99,STD,0,0,0
100,STD,13,11,2
101,STD,14,14,0
