mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,LVR,20,0,20
2,LVR,8,8,0
3,ROR,5,5,0
4,ROR,8,8,0
5,ROR,493,0,493
6,LVR,0,0,0
7,LVR,0,0,0
8,AOR,0,0,0
9,AOR,0,0,0
10,AOR,0,0,0
11,AOR,0,0,0
12,STD,493,0,493
13,STD,264,214,50
14,LVR,430,429,1
15,LVR,430,337,93
16,STD,430,429,1
17,LVR,434,341,93
18,LVR,431,353,78
19,STD,434,341,93
20,STD,426,260,166
21,COR,68,0,68
22,COR,52,0,52
23,EVR,34,33,1
24,EVR,34,33,1
25,ROR,0,0,0
26,ROR,7,7,0
27,ROR,40,40,0
28,AOR,40,40,0
29,AOR,40,40,0
30,AOR,40,40,0
31,AOR,40,40,0
32,LVR,237,237,0
33,LVR,237,237,0
34,AOR,7,7,0
35,AOR,237,237,0
36,AOR,237,237,0
37,AOR,237,237,0
38,AOR,237,237,0
39,AOR,237,237,0
40,AOR,237,237,0
41,AOR,237,237,0
42,AOR,7,7,0
43,AOR,237,237,0
44,AOR,237,237,0
45,AOR,237,237,0
46,EVR,46,46,0
47,LVR,352,352,0
48,LVR,351,351,0
49,AOR,351,351,0
50,AOR,352,352,0
51,AOR,351,351,0
52,AOR,352,352,0
53,EVR,279,279,0
54,ROR,90,13,77
55,ROR,0,0,0
56,ROR,412,344,68
57,LVR,0,0,0
58,LVR,0,0,0
59,ROR,0,0,0
60,ROR,0,0,0
61,ROR,0,0,0
62,ROR,328,162,166
63,ROR,0,0,0
64,ROR,0,0,0
65,LVR,14,6,8
66,LVR,4,3,1
67,AOR,0,0,0
68,AOR,14,6,8
69,AOR,4,3,1
70,AOR,14,6,8
71,ROR,0,0,0
72,ROR,16,8,8
73,ROR,0,0,0
74,EVR,0,0,0
75,COR,0,0,0
76,COR,166,0,166
77,STD,57,5,52
78,ROR,90,13,77
79,ROR,0,0,0
80,ROR,0,0,0
81,LVR,0,0,0
82,LVR,0,0,0
83,STD,0,0,0
84,LVR,90,13,77
85,LVR,49,47,2
86,AOR,49,47,2
87,AOR,90,13,77
88,AOR,49,47,2
89,AOR,90,13,77
90,STD,90,13,77
91,LVR,0,0,0
92,COR,68,68,0
93,COR,40,0,40
94,ROR,11,10,1
95,ROR,0,0,0
96,ROR,0,0,0
97,LVR,0,0,0
98,LVR,0,0,0
99,STD,0,0,0
100,STD,11,10,1
101,STD,11,11,0
