mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,LVR,9,0,9
2,LVR,0,0,0
3,ROR,4,1,3
4,ROR,1,0,1
5,ROR,0,0,0
6,LVR,12,0,12
7,LVR,3,2,1
8,AOR,10,7,3
9,AOR,9,9,0
10,AOR,10,7,3
11,AOR,9,5,4
12,STD,7,6,1
13,STD,9,5,4
14,LVR,0,0,0
15,LVR,11,4,7
16,STD,1,0,1
17,LVR,1,0,1
18,LVR,0,0,0
19,STD,0,0,0
20,STD,0,0,0
21,COR,2,2,0
22,COR,0,0,0
23,EVR,1,1,0
24,LVR,1,1,0
25,EVR,1,1,0
26,ROR,1,1,0
27,ROR,1,1,0
28,ROR,1,1,0
29,AOR,3,3,0
30,AOR,3,3,0
31,AOR,2,2,0
32,AOR,3,3,0
33,LVR,3,3,0
34,LVR,3,3,0
35,AOR,1,1,0
36,AOR,0,0,0
37,AOR,3,3,0
38,AOR,3,3,0
39,AOR,3,3,0
40,AOR,2,2,0
41,AOR,3,3,0
42,AOR,3,3,0
43,AOR,3,3,0
44,AOR,3,3,0
45,AOR,8,3,5
46,AOR,6,6,0
47,EVR,12,0,12
48,LVR,6,6,0
49,LVR,8,3,5
50,AOR,6,6,0
51,AOR,8,3,5
52,AOR,1,1,0
53,AOR,4,0,4
54,EVR,2,0,2
55,ROR,5,4,1
56,ROR,1,1,0
57,ROR,1,1,0
58,LVR,0,0,0
59,LVR,0,0,0
60,ROR,4,0,4
61,ROR,1,1,0
62,ROR,7,0,7
63,ROR,0,0,0
64,ROR,1,1,0
65,ROR,4,0,4
66,LVR,2,2,0
67,LVR,2,2,0
68,AOR,4,0,4
69,AOR,0,0,0
70,AOR,2,2,0
71,AOR,4,0,4
72,ROR,0,0,0
73,ROR,4,0,4
74,ROR,2,2,0
75,EVR,3,3,0
76,COR,1,1,0
77,COR,7,0,7
78,STD,2,1,1
79,ROR,6,1,5
80,ROR,0,0,0
81,ROR,0,0,0
82,LVR,3,3,0
83,LVR,4,4,0
84,STD,4,4,0
85,LVR,4,2,2
86,LVR,6,1,5
87,AOR,7,6,1
88,AOR,7,5,2
89,AOR,6,1,5
90,AOR,7,6,1
91,STD,0,0,0
92,COR,6,1,5
93,COR,6,1,5
94,ROR,1,1,0
95,ROR,5,0,5
96,ROR,4,1,3
97,LVR,0,0,0
98,LVR,1,1,0
99,STD,1,1,0
100,STD,1,1,0
101,STD,1,1,0
