mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,LVR,11,0,11
2,LVR,1,1,0
3,ROR,0,0,0
4,ROR,1,1,0
5,ROR,13,0,13
6,LVR,0,0,0
7,LVR,0,0,0
8,AOR,0,0,0
9,AOR,0,0,0
10,AOR,0,0,0
11,AOR,0,0,0
12,STD,13,0,13
13,STD,5,4,1
14,LVR,11,8,3
15,LVR,9,7,2
16,STD,11,8,3
17,LVR,10,5,5
18,LVR,8,7,1
19,STD,10,5,5
20,STD,11,5,6
21,COR,1,0,1
22,COR,1,0,1
23,EVR,0,0,0
24,EVR,0,0,0
25,ROR,2,2,0
26,ROR,1,1,0
27,ROR,2,2,0
28,AOR,2,2,0
29,AOR,2,2,0
30,AOR,2,2,0
31,AOR,2,2,0
32,LVR,4,4,0
33,LVR,4,4,0
34,AOR,3,3,0
35,AOR,4,4,0
36,AOR,4,4,0
37,AOR,4,4,0
38,AOR,2,2,0
39,AOR,4,4,0
40,AOR,4,4,0
41,AOR,4,4,0
42,AOR,3,3,0
43,AOR,4,4,0
44,AOR,4,4,0
45,AOR,4,4,0
46,EVR,5,5,0
47,LVR,9,4,5
48,LVR,6,6,0
49,AOR,6,6,0
50,AOR,9,4,5
51,AOR,6,6,0
52,AOR,9,4,5
53,EVR,1,1,0
54,ROR,4,0,4
55,ROR,1,0,1
56,ROR,5,4,1
57,LVR,1,1,0
58,LVR,1,1,0
59,ROR,0,0,0
60,ROR,3,0,3
61,ROR,1,1,0
62,ROR,6,0,6
63,ROR,0,0,0
64,ROR,1,1,0
65,LVR,3,0,3
66,LVR,1,1,0
67,AOR,1,1,0
68,AOR,3,0,3
69,AOR,1,1,0
70,AOR,3,0,3
71,ROR,0,0,0
72,ROR,3,0,3
73,ROR,1,1,0
74,EVR,2,2,0
75,COR,1,1,0
76,COR,6,0,6
77,STD,4,3,1
78,ROR,5,1,4
79,ROR,0,0,0
80,ROR,1,1,0
81,LVR,3,3,0
82,LVR,3,3,0
83,STD,3,2,1
84,LVR,5,1,4
85,LVR,6,6,0
86,AOR,6,6,0
87,AOR,5,1,4
88,AOR,6,6,0
89,AOR,5,1,4
90,STD,5,1,4
91,COR,1,1,0
92,COR,3,0,3
93,ROR,3,0,3
94,ROR,0,0,0
95,ROR,1,1,0
96,LVR,1,1,0
97,LVR,0,0,0
98,STD,1,1,0
99,STD,3,0,3
100,STD,0,0,0
101,LVR,0,0,0
